Time,X,Y,Z
103746,0.087891,1,0.08252
104162,0.087891,1,0.08252
104194,0.087891,1,0.08252
104342,0.087891,1,0.08252
104432,0.087891,1,0.08252
104523,0.087891,1,0.08252
104824,0.087891,1,0.08252
105327,0.087891,1,0.08252
106870,0.087891,1,0.08252
107277,0.087891,1,0.08252
107485,0.087891,1,0.08252
108311,0.087891,1,0.08252
108661,0.087891,1,0.08252
108928,0.087891,1,0.08252
109021,0.087891,1,0.08252
109224,0.087891,1,0.08252
109532,0.087891,1,0.08252
109625,0.087891,1,0.08252
110350,0.087891,1,0.08252
110445,0.087891,1,0.08252
110538,0.087891,1,0.08252
110685,0.087891,1,0.08252
110779,0.087891,1,0.08252
111075,0.087891,1,0.08252
111383,0.087891,1,0.08252
111416,0.087891,1,0.08252
111680,0.087891,1,0.08252
111825,0.087891,1,0.08252
111913,0.087891,1,0.08252
112007,0.087891,1,0.08252
112097,0.087891,1,0.08252
112303,0.087891,1,0.08252
112397,0.087891,1,0.08252
112487,0.087891,1,0.08252
112574,0.087891,1,0.08252
113168,0.087891,1,0.08252
113255,0.087891,1,0.08252
113636,0.087891,1,0.08252
113725,0.087891,1,0.08252
113934,0.087891,1,0.08252
114297,0.087891,1,0.08252
114387,0.087891,1,0.08252
114479,0.087891,1,0.08252
114625,0.087891,1,0.08252
114712,0.087891,1,0.08252
115631,0.087891,1,0.08252
115982,0.087891,1,0.08252
116248,0.087891,1,0.08252
116344,0.087891,1,0.08252
117678,0.087891,1,0.08252
118043,0.087891,1,0.08252
118137,0.087891,1,0.08252
118231,0.087891,1,0.08252
119103,0.087891,1,0.08252
119195,0.087891,1,0.08252
119288,0.087891,1,0.08252
120084,0.087891,1,0.08252
120290,0.087891,1,0.08252
120589,0.087891,1,0.08252
120679,0.087891,1,0.08252
120946,0.087891,1,0.08252
121041,0.087891,1,0.08252
121133,0.087891,1,0.08252
121277,0.087891,1,0.08252
121515,0.087891,1,0.08252
122234,0.087891,1,0.08252
122332,0.087891,1,0.08252
122539,0.087891,1,0.08252
122634,0.087891,1,0.08252
122725,0.087891,1,0.08252
123106,0.087891,1,0.08252
123202,0.087891,1,0.08252
123293,0.087891,1,0.08252
123620,0.087891,1,0.08252
123706,0.087891,1,0.08252
125042,0.087891,1,0.08252
125136,0.087891,1,0.08252
125230,0.087891,1,0.08252
125323,0.087891,1,0.08252
126833,0.087891,1,0.08252
126979,0.087891,1,0.08252
127459,0.087891,1,0.08252
127760,0.087891,1,0.08252
127851,0.087891,1,0.08252
128487,0.087891,1,0.08252
128790,0.087891,1,0.08252
128875,0.087891,1,0.08252
129500,0.087891,1,0.08252
129803,0.087891,1,0.08252
129894,0.087891,1,0.08252
129987,0.087891,1,0.08252
130223,0.087891,1,0.08252
130311,0.087891,1,0.08252
130401,0.087891,1,0.08252
130488,0.087891,1,0.08252
130583,0.087891,1,0.08252
130675,0.087891,1,0.08252
130941,0.087891,1,0.08252
131147,0.087891,1,0.08252
131457,0.087891,1,0.08252
131487,0.087891,1,0.08252
131636,0.087891,1,0.08252
131732,0.087891,1,0.08252
132373,0.087891,1,0.08252
133705,0.087891,1,0.08252
133792,0.087891,1,0.08252
133884,0.087891,1,0.08252
135023,0.087891,1,0.08252
135116,0.087891,1,0.08252
135237,0.087891,1,0.08252
135441,0.087891,1,0.08252
135534,0.087891,1,0.08252
137800,0.087891,1,0.08252
137941,0.087891,1,0.08252
138353,0.087891,1,0.08252
138619,0.087891,1,0.08252
138710,0.087891,1,0.08252
138866,0.087891,1,0.08252
139131,0.087891,1,0.08252
139221,0.087891,1,0.08252
139436,0.087891,1,0.08252
139645,0.087891,1,0.08252
139730,0.087891,1,0.08252
139944,0.087891,1,0.08252
140038,0.087891,1,0.08252
141384,0.087891,1,0.08252
141583,0.087891,1,0.08252
142620,0.087891,1,0.08252
143327,0.087891,1,0.08252
143535,0.087891,1,0.08252
143941,0.087891,1,0.08252
143971,0.087891,1,0.08252
144118,0.087891,1,0.08252
145176,0.087891,1,0.08252
145740,0.087891,1,0.08252
145772,0.087891,1,0.08252
146504,0.087891,1,0.08252
146595,0.087891,1,0.08252
146866,0.087891,1,0.08252
146958,0.087891,1,0.08252
147044,0.087891,1,0.08252
147370,0.087891,1,0.08252
147673,0.087891,1,0.08252
148093,0.087891,1,0.08252
148182,0.087891,1,0.08252
148275,0.087891,1,0.08252
148610,0.087891,1,0.08252
148699,0.087891,1,0.08252
148791,0.087891,1,0.08252
149066,0.087891,1,0.08252
149787,0.087891,1,0.08252
149884,0.087891,1,0.08252
149977,0.087891,1,0.08252
150190,0.087891,1,0.08252
150286,0.087891,1,0.08252
150373,0.087891,1,0.08252
150493,0.087891,1,0.08252
150856,0.087891,1,0.08252
150946,0.087891,1,0.08252
151211,0.087891,1,0.08252
151302,0.087891,1,0.08252
151393,0.087891,1,0.08252
151542,0.087891,1,0.08252
151634,0.087891,1,0.08252
151721,0.087891,1,0.08252
152537,0.087891,1,0.08252
152746,0.087891,1,0.08252
153305,0.087891,1,0.08252
153457,0.087891,1,0.08252
153487,0.087891,1,0.08252
153669,0.087891,1,0.08252
153753,0.087891,1,0.08252
154022,0.087891,1,0.08252
154290,0.087891,1,0.08252
154799,0.087891,1,0.08252
154891,0.087891,1,0.08252
155254,0.087891,1,0.08252
155407,0.087891,1,0.08252
155555,0.087891,1,0.08252
155762,0.087891,1,0.08252
156642,0.087891,1,0.08252
156954,0.087891,1,0.08252
157307,0.087891,1,0.08252
157392,0.087891,1,0.08252
157806,0.087891,1,0.08252
158072,0.087891,1,0.08252
158277,0.087891,1,0.08252
158481,0.087891,1,0.08252
158893,0.087891,1,0.08252
159253,0.087891,1,0.08252
159339,0.087891,1,0.08252
159432,0.087891,1,0.08252
159610,0.087891,1,0.08252
159701,0.087891,1,0.08252
159845,0.087891,1,0.08252
159875,0.087891,1,0.08252
160536,0.087891,1,0.08252
161146,0.087891,1,0.08252
161240,0.087891,1,0.08252
161335,0.087891,1,0.08252
161661,0.087891,1,0.08252
161807,0.087891,1,0.08252
161894,0.087891,1,0.08252
162066,0.087891,1,0.08252
162160,0.087891,1,0.08252
162334,0.087891,1,0.08252
162884,0.087891,1,0.08252
163293,0.087891,1,0.08252
164722,0.087891,1,0.08252
164971,0.087891,1,0.08252
165064,0.087891,1,0.08252
165555,0.087891,1,0.08252
165646,0.087891,1,0.08252
165739,0.087891,1,0.08252
165859,0.087891,1,0.08252
166066,0.087891,1,0.08252
166670,0.087891,1,0.08252
166880,0.087891,1,0.08252
167698,0.087891,1,0.08252
168731,0.087891,1,0.08252
169025,0.087891,1,0.08252
169122,0.087891,1,0.08252
169338,0.087891,1,0.08252
169478,0.087891,1,0.08252
169571,0.087891,1,0.08252
169847,0.087891,1,0.08252
169937,0.087891,1,0.08252
170087,0.087891,1,0.08252
170366,0.087891,1,0.08252
170458,0.087891,1,0.08252
170724,0.087891,1,0.08252
171231,0.087891,1,0.08252
171380,0.087891,1,0.08252
171526,0.087891,1,0.08252
171946,0.087891,1,0.08252
172039,0.087891,1,0.08252
172128,0.087891,1,0.08252
172218,0.087891,1,0.08252
172308,0.087891,1,0.08252
173845,0.087891,1,0.08252
174048,0.087891,1,0.08252
174360,0.087891,1,0.08252
174455,0.087891,1,0.08252
174665,0.087891,1,0.08252
174758,0.087891,1,0.08252
174850,0.087891,1,0.08252
